station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
Gyana Majra Pr. Vid.,MUZAFFARNAGAR,7,7,765,0.7584878145364664,1.4390951593192762,0.6909847348580747,0.9635334134872096,0.6703563617770368,1.2849166835626218,0.6654978762124326,0.6340938553740407
HARNHAPUR PRATHAMIK VIDYALAYA,PRATAPGARH,7,7,738,0.49692078709735166,0.4441374286558162,1.4962160471413197,1.3260516155716837,0.42372595950262554,0.2844771024518371,1.3357832966029304,1.184309161597873
HOLAGARH PURV MADHYAMIK VIDYALAYA,PRATAPGARH,7,7,738,0.4142230995544024,0.300441216609906,0.8417875479053306,0.7265300772113671,0.4386671133750721,0.3583074566395004,0.6286783871585977,0.8539480074364963
Halwana,SAHARANPUR,7,7,765,0.5729624677838691,0.4401097898174189,0.6489924588999108,0.37841545701275653,0.6398038784891862,0.6327920016332815,1.722584291773161,1.6736975921845398
Hamirpur Kurara Damar,HAMIRPUR,6,6,705,2.0304362371041287,0.8073273496448963,2.2969216525579905,2.0992187647854563,2.268573630067315,1.0067895815532726,2.9266618873561194,3.3235895974157064
Hamirpur Kurara Jalokhar,HAMIRPUR,6,6,683,1.6640015502065073,0.332099975106726,1.860672265270624,1.055707069564517,1.7458477409333597,0.6444257330536931,2.4736626689183283,2.098419253423056
Hamirpur Sarila Purani,HAMIRPUR,7,7,839,1.5714157278118948,1.5417855941885186,2.0162111679246673,1.5214593613974179,1.7287168382295293,1.6713809261976158,3.0021499134182856,2.899785690203181
Hamirpur Sumerpur Etara,HAMIRPUR,6,6,704,1.0313219586459417,0.6710485141596091,1.3363530201756868,1.336339324372163,1.112024498694259,0.7110608340651925,2.1379190485304536,2.3622876380304887
Hamirpur Sumerpur Para,HAMIRPUR,6,6,655,0.6663638812161236,0.4602085776858917,1.7126023439429945,1.7734014188535783,0.7469670477725824,0.509072231961013,2.049378781806381,2.0311047156099287
Hathras Hathras Hathras,HATHRAS,8,8,868,8.23552653463108,7.094265100531792,6.421393605847186,6.254368352537514,8.272418749170885,7.288104632827395,6.7941650751257505,6.198011985121385
Hathras Mursan Chandapa Sandh,HATHRAS,7,7,803,0.3270439757993532,0.42428566074698865,0.7810129420724972,0.9326777496807728,0.35745020882373374,0.41262262571088837,0.46960030548648457,0.6367821072650645
"ITI Campus, ITI Campus Area",MUZAFFARNAGAR,6,6,650,0.5802593734425098,0.5363927819991373,0.9030912954454675,1.0376759368728776,0.781731976399269,0.6098782370002315,0.5354797120569091,0.6089424884850846
Inter Collage Khampar,DEORIA,7,7,821,0.3653831597998724,0.43321301238311144,0.7124921233466591,0.7590863433511702,0.4913604481786981,0.5447085476427673,0.7793799525441747,0.6281202060940021
"Inter College, Sarv Hitakari",BAGHPAT,6,6,665,0.7333968785631264,0.7958783357410083,0.8533419624900412,0.449244193995927,0.6258592352993148,0.7120173471068156,1.3685603205246668,1.3349814916441387
"Inter college, Tindwara",BANDA,7,7,819,0.18260511892133846,0.27698087308080543,5.6330763217756115,5.505535766386729,0.23987090242236694,0.3146696820524015,8.592107162482195,8.663343565599547
"Irrigation Department, Amawar",SONBHADRA,7,7,751,0.6412926406272089,0.6124341734244871,1.7615325098341013,1.776051534907098,0.6237829722884871,0.3643552406777204,2.1348548352096364,2.2079112993424097
"Janata Inter College, Lachheda",MUZAFFARNAGAR,7,7,837,1.7351253074648028,1.98739278008432,1.8218507121043255,1.9951832484090415,2.0106064987294197,2.3017592039702985,1.3323567184877454,0.9742314954344418
Jaunpur Dobhi Bagerwa,JAUNPUR,6,6,678,1.2230355967893805,1.4330198011318445,1.7089492380273534,1.7615546086466705,1.0294579292943857,1.2119739894730635,2.148723002169341,1.9875205415116655
Jaunpur Dobhi Bankati,JAUNPUR,6,6,702,3.1205054594823136,3.0075815385619573,2.9789452644421393,3.022351811804314,2.9959578052306544,2.776449679006577,1.4440146430864962,1.2733501357784656
